Customer Review,text
Review 56,"The Sherry-Netherland is most definitely a very unique and exceptional hotel. While I was staying there, I felt as if I were staying in an elegant pre-war Fifth Avenue co-op apartment. The old-world elegance and the attention to the details of hospitality (a hand-written welcome note from the manager, fresh flowers, a box of lovely chocolates, gratis beverages in the refrigerator, and white-gloved elevator operators) make The Sherry-Netherland a breath of fresh air in today's cookie-cutter world of sameness and mediocrity. The Sherry-Netherland is heads and shoulders above its competition! Kudos to the exceptional staff---especially Renee and Russell. I look forword to my next stay at The Sherry!"
Review 57,We had a/c problems this past weekend so decided to stay here to get away from the heat and leaking problems! It was wonderful from start to finish! LaLa at the front was very nice and made sure our evening was a good one! We used the pool and hot tub and enjoyed it. Was nice to destress a little from the problems back at the house. We had a quiet night's rest. The hotel is very warm and inviting from the staff to the rooms! Definitely recommend to anyone coming to the area! Thanks!
Review 58,"My husband and I had our wedding there May 7th and I want to thank the staff, specially the Wedding Coordinator and catering manager Ms. Dennis and Mr. Marco, Food and Beverage Hotel Mngr. for going always ahead of us to please our needs. 
Every detail for the big day was done perfect, the timing for everything planned the food WOW delicious, guests were amazed at the food and service while they waited with appetizers and drinks. Once the party started and dinner was served everyone was even more thrilled to see the different choices in the buffet line, set up with so many choices of fresh and luscious foods. 
Our decorations were so elegant, and all the details I myself wanted such as little surprises through the night, or the way I wanted things to look, colors, chair covers, cake table, gift table, favors for guests, announcements, even our picture and sign table etc… where done exactly as I had asked them. Having our wedding there was hassle free and with less planning from our part. 
Everyone at the hotel was so friendly and we look forward to spending our next anniversary there as we can assure the next morning’s breakfast after our wedding reception was so DELICOUS we didn’t want to leave. 
As for the hotel itself, it is beautiful, it smells still like new, the rooms are comfortable, the bathrooms close to the wedding reception were kept neat and clean, and the floors and decorations were so nice and pleasant to invite anyone to stay there. We also want to mention the nice appearance of the front staff and the waitress/clean crew for looking clean and professional. 
Finally, we will keep staying at the Hilton family and would like to say one more time thanks to the Hilton Garden Inn for making it possible to have our dream wedding come true!!!
Love Diana and Marvin Gonzalez"
Review 59,Rooms were large and beautifully decorated!! Staff was helpful & friendly. Very comfortable bed!!
Review 60,This hotel is absolutely beautiful. We have stayed here a few times now and we really don't ever want to stay anywhere else when we visit NYC. We have stayed in suites and rooms and even the rooms are very large. You can't beat a suite! No two are the same and they are all HUGE! The hotel is very quiet. We hardly ever see another person and we definitely don't hear a thing. The staff go out of there way to greet you and make sure that you have everything that you need. I can't imagine a nicer hotel in NYC. I HIGHLY recommend the Sherry Netherland!!
Review 61,"Location is perfect, but not all the rooms are fine. The first day we were on a room on the 3rd floor with an ugly interior view, no hot water, and they were not able to change the room till the next day,we had an interior regular view on the 10th floor, and everything was ok, nice amenities and free soft drinks on the fridge. Bad wi fi signal on both rooms.
Jummeirah essex house is a much better option with same location and very similar prices."
Review 62,"Not only is this property in a great, central location, but it's a beautiful hotel as well! The banquet team can't be beat - everything was set up perfectly and were happy to help with last minute preparations. The catering was exceptional also. Extremely accommodating! We will be hosting our future seminars here!"
Review 63,"I have stayed at this hotel numerous times in Houston when I come to town to visit my clients in the Energy Corridor. I love the convenient location and the staff are great too. I've stayed at countless Hilton properties and this one is one of my go-to's and favorites. This hotel is a gem in the HGI crown!
Let me count the ways I love this place: 
- (Insert oil company name here) is just minutes away! 
- There's a Kinko's next door! 
- I don't have to get on the freeway to get to my meetings! 
- There are tons of restaurant options nearby (sushi, Mexican, BBQ, etc)!
- I am always greeted as a return customer, and they've upgraded my rooms a few times!
This hotel has great hospitality and I think it is a no brainer if you're going here for business. The staff are great and know what they are doing. 
One tip though - book well in advance, because this HGI's awesomeness is known around town to energy corridor business travelers, this HGI is often booked to capacity. I've had to pull the Hilton strings more than once to make a reservation when they've appeared to be sold out. Now you have a tip to outsmart everyone to get your room here, too."
Review 64,"Our son and new daughter in law had their wedding reception here. It not only met expectations, but exceeded our expectations. The event planner and restaurant manager were on site for the entire event making sure everything ran smoothly. There was plenty of waitstaff, the food was amazing and the event was truly magical. Truly lived up to the Hilton name."
Review 65,"We booked here because they were able to offer connecting rooms and the location was good for visiting family. We arrived at 10pm and there were no connecting rooms, (we could have called ahead to confirm but did not). The front desk staff worked together to come up with a plan to accommodate our family and after the first night we switched one of the rooms which worked fine. They were so polite and helpful. In fact, EVERYONE working at the hotel was unbelievably hospitable....a very well trained staff! Price seemed low coming from Calif but we found out that other similar hotels in the area were less expensive. Still, no complaints. Rooms were quiet, large, comfortable and clean and staff was amazing so it was money well spent!"
Review 66,"In for yet another soccer tournament. We really enjoyed our stay. Everything was so clean and neat. There was a warm smell of cookies or vanilla in the lobby that made it feel welcoming. Our room was spacious, and the beds were very comfortable. The front desk staff was friendly and accommodating. I highly recommend this hotel. Conveniently located just off of I-10."
Review 67,"We selected this hotel over hotels closer to Houston because of its high rating in Trip Advisor. I was a little disappointed and wish I had gone with a hotel closer to the city. It's not that it's a bad hotel, it isn't. It just donesn't deserve being the #6 best hotel in Houston. From my standards, it's a very good hotel, just what you would expect from a Hampton or a Garden Inn, but it's not an outstanding hotel.
On the downside, the service is spotty. Some staff are increadibly helpful while others are not. For example, wanting a cup of coffee around 3 pm on a Sunday afternoon we discovered it was cold. When we told the front desk about it, their reply was that we would have to wait a couple of hours until the new shift came on duty. What?! Room service was also slow on some days. We had to wait until 5:30 pm on a Sunday to get a maid to make up our room.
On the upside, the breakfast is very nice at a cost of $10 per person. There are cookies in the lobby in the afternoon. The wireless Internet and parking is free. The exercise room is minimal but acceptable. The rooms were clean, comfortable, and quiet which is what is more important than a hot cup of coffee on a Sunday afternoon."
Review 68,Stay frequently for business. The staff goes out of their way to make sure you are well looked after. My home away from home.
Review 69,"The staff is always focused on taking care of it's clients. We had a meeting at this location for two days and the food was better than anticipated.
I'm sure we will be back in the near future!!"
Review 70,I just want to say that the staff was very helpful in getting my family an early check-in for a local wedding. Kelly was particularly helpful and I want to thank her very much!
Review 71,Service is excellent!!! it's the most important thing to me. Kudos to all the staffs... you guys are doing great job. You can't go wrong with the location - trust me. Room is great and the television is BIG! I didn't have to press any button in the elevator coz they'll do it for you - and they know what your floor is! I can't ask for more...
Review 72,"luckily we got an amazing rate for this POSH hotel...almost half the usual price. luxurious landmark hotel right across the street from the park (central park, that is). and everything in the room fridge is complimentary! gotta love that. if you want to do something special, and can't afford the plaza, this is the answer!"
Review 73,"The Sherry Netherland functions so smoothly it could almost put you to sleep. This is not neccessary a good or bad thing. That will depend on whether you're looking for excitement, or predicability.
My wife and I like both equally, both can't afford the grand a night it costs. For us there is the Sherry Netherland. Perfectly located; historical, friendly, intimate, cumfy, and quiet. Five stars all around, but especially for value!"
Review 74,"It's not the typical hotel with a big lobby. However if you want a quiet but upscale hotel this is it. You are welcome from the minute you step in until you leave. The staff pro guest ratio is very low so I never waited in line for any service. The staff were very friendly with my kids. Location was perfect as it was in a safe area to walk around, food choices are aplenty in the area. Beside subway and bus stops. Service was impeccable"
Review 75,"If you like old world charm and the best location in NYC, this is the hotel for you. Situated in New York's most outstanding street corner, the hotel offers great rooms, a coziness that only an hotel with 50 rooms can provide, a staff that greets you with a smile and an atmosphere similar to New York's top tier hotels. Prices are reasonable for New York's standards and rooms are big, very well decorated and with all the amenities that you' d expect from a five star hotel. The only problem was the noise from the courtyard, because of the air conditioning units that work all day and night. A second minor problem is that you have to wait a couple minutes for the hot water in the shower, because - I suppose - plumbing is tired. But besides that, I recommend this hotel to those who would like to stay confortably in New York's best address and in a landmark building that has been kept in pristine condition."
Review 76,"La camera è una standard americana, ovvero sempre troppo grande per una persona sola ma comunque pulita. Nei bonus era compresa la colazione e un servizio di aperitivo che credo sia stata una delle cose più povere e tristi che abbia ricevuto. L'hotel però si trova in una posizione comoda da raggiungere ma i dintorni non sono il massimo per fare una passeggiata. Nei dintorni infatti ci sono case abbandonate e semi distrutte, un carcere minorile (!!) , due cimiteri e campi abbandonati con carrelli della spesa ovunque..
tutto sommato è ok per il prezzo se ci volete stare una notte.."
Review 77,"As always, making my reservation took less than 3 minutes using the Hilton website.
The hotel is located just off a major freeway/frontage road. The hotel offers plenty of convenient and free parking. I was greeted with a smile, welcomed by name, and my check-in took less than a minute. The hotel itself is very clean and well-maintained. The hotel caters to business travelers and at least in the early evening the lobby/bar area is fairly noisy. My room was on the sixth floor and was also very clean, with a spotless duvet and a very comfortable bed.
I am a long-time Hilton Diamond HHonors member, and virtually all of my domestic hotel stays are at HGI properties for reasons (as in this case) include: free and convenient parking, free high-speed internet, a free and well-equipped business center, a clean indoor pool and a free and well-equipped fitness center, and a restaurant offering good food at reasonable prices.
If you like to workout, I recommend that you get to the fitness center as early as you can because the place fills up fast. 
The property, its staff, my room, and all of the usual HGI amenities made for a very comfortable and enjoyable stay. I recommend this property to you."
Review 78,"Best location on the park, amazing views, staff lovely, made me feel welcome, rooms are airy light and beautifully appointed.
I spend only 2 days here before moving on to another place to stay. Great start to my New York visit, excellent breakfast and room service.
Thank you to everyone at the Sherry!"
Review 79,"stayed at the sherry for 3 nights whilst in new york, which is one of my favourite cities in the world. the staff there are the best thing about it.... warm and helpful, but never intruding. the rooms are beautifully appointed without trying too hard, with a botanical theme. because i'm not fond of large impersonal lobbies, i was really pleased arriving at the sherry despite the bustle outside its entrance. it felt like SUCH a privilege every time i walked through that revolving door. although i would have preferred a slightly quieter address further into the upper east side, there is something to be said for its proximity to bergdorf goodman :P 
although we didn't make use of the room service, i believe many good things have been said about its neighbour Harry cipriani. i'm always charmed by any establishment that offers free drinks in its minibar - whilst not the type to drink many of them in the first place, it just seems so much less 'commercial' this way... honestly, who's going to drink 20 cans of coke from the minibar, even if they were free? 
so... the sherry might suit someone like me, who prefers their hotels thoughtful, beautiful and intimate."
Review 80,"What a superb place to stay in NYC! Gorgeous rooms, friendly and helpful staff, perfect location. Totally delightful."
Review 81,"OK, so most of us can’t afford to be upper east-siders. But we can stay at the Sherry to see what the big deal is. And, it is a big deal. Walking distance to Broadway, the Lincoln Center and the main art museums. (don’t miss the Whitney!), as well as the many wonderful restaurants. Then, the hotel itself is no hotel. It is a residence. The staff is as professional as they come. We stayed for several days and lost the feeling of being yokels from Virginia because we were treated as residents. The rooms are exquisitely appointed and larger than the NYC norm. Cipriani’s is the attached restaurant and has great service and excellent food, which came with a discount, since we were residents … er … hotel guests. We try to get to the Apple at least once a year and traditionally select the Sherry. Occasionally we experiment with other venues such as the Plaza. But we have always happily returned to “our” place. The Sherry. We’d give it six stars, if we could."
Review 82,"This is a nice hotel with friendly staff. Not luxurious, but comfortable. The ""king size"" bed is a small king, so plan accordingly. It has nice little touches to make the rooms homey - little reflective paint under counter in bathroom so turning on the light at night is unnecessary; shelving in the tub to hold towels; hutch for microwave and refrigerator with room for storage. We ate the breakfast and it was good - not great, but as it was included in our price, we won't complain. Sausage gravy and biscuits, eggs, bacon, cereals, fresh fruits, pastries, yogurt, french toast, pancakes, hash browns, coffee, juice, and am probably leaving something out. We received a special rate due to the meet we were attending and it included breakfast. Not sure we would have been as pleased otherwise, but for the $80 (including tax) we paid, it was beyond great."
Review 83,I went to all the hotels in the area to find the one that would accommodate my extended family and friends for my daughters wedding and this hotel was by far the best. It was everything they promised it would be and more. I would highly recommend having a weekend wedding in this hotel because the staff was very attentive and worked with our time crunch because it was a morning wedding. The hotel was set back off the freeway and it did not have a through street so I felt safe and secure.
Review 84,"Everything to say has already been said. Great staff, clean rooms, and very comfortable beds. So, I'd light to highlight great customer service from Lala. Every time I make a reservation to any hotel, I request non feather bedding because of my allergies. I simply cannot deal with donald or daffy. And every single time, the hotels over look this request. Lala read the request and personally checked the room as I unloaded the car to make sure that the geese were elsewhere. That's service people! Hotels with far more stars don't have that kind of accountability and person touch. I have no quarms about recommending this place.
GPS totally missed this place so be sure to be on the side of katy freeway heading east toward the beltway. Its next to texas land and cattle and holiday inn. The sign is small and low to the ground."
Review 85,"We stayed here one night to test drive the heavenly bed and not only the bed but everything about the stay was just right. Check in was cheerful, efficient and included a brief but thorough orientation, the room was tasteful and fresh, the bathroom and particularly the large shower ith double head was luxurious. And the bed....let's just say we ordered one yesterday to replace our much-hated tempurpedic. The location is very convenient to the huge medical complex and shopping mall, connected by a skyway. This was a very nice stay. Weekend rates are very reasonable."
Review 86,"This was my second stay at this property and it did not disappoint. The location is great for me with access via walkway to the Mall and several restaurants.
The rooms are clean and modernish in a Westin kind of way.
I have a pet peeve with all Westin's I hate the soap, other than that hard to find fault with the toiletries.
I did have one not so good experience; after being out for the day I cam back to find my room door adjar. When the room had been cleaned the door did not click shut, thus my possessions were unprotected for the day. Fortunately nothing was stolen but it could have been disastrous. (my computer was in the room)
There is also an unpleasant odour in the lobby, something that I have noticed on both occassions when I have been there.
Having said that the staff are great, very friendly and helpful and the rooms are very nice. Highly recommended."
Review 87,"I have been staying at the San Carlos Hotel probably for nearly a decade every time I am in NYC. I make 6-8 trips a year for either business or pleasure and my stays have ranged from a week to just a few nights. I was there the week before Christmas this time along with several business associates. 
Everything about this place is first class. The rooms are spacious as well as extremely clean and comfortable. The staff is enormously friendly and accommodating, courteous and fun. During what is a very hectic time in the City, the staff continued their excellent service, and the prices were entirely reasonable. The location, in midtown East is ideal, near to metro service and within easy walking distance of lots of excellent restaurants, diners, and attractions.
In addition to the warmth of the staff, the San Carlos did a great job this year of getting us all into the holiday spirit with their tasteful and clearly upscale decorations throughout the lobby and waiting areas. Whoever was responsible deserves special kudos. I commend the managment and staff for continuing to provide always such a hospitable place in a sometimes cold city!"
Review 88,I spent the weekend at the hotel and the service was perfect. The room was great and the staff was awesome as always. This is my favorite hotel in New York.
Review 89,"If I were to run a hotel, I'd do it the way it's done by the staff of The Sherry-Netherland. I'd been told by a friend of the superior staff, rooms, service, historical ambiance, still I knew there was no such place left in the U.S. Boy, was I wrong. 
The building is comprised mainly of apartments, lending it an air of quiet elegance, not at all dreary like some historic hotels. It faces the SE corner of Central Park, convenient for shopping and hopping on local transportation. The rooms are cheerful and immaculate, tastefully appointed with modern conveniences. As a side note, the park was too icy to run in during my stay; I discovered the Sherry has one of the best fitness rooms I've ever visited at a hotel!
Prices are steep, but what isn't in the city? I can't wait to be able to come back to The Sherry!"
Review 90,"The Westin Memorial City opened in the spring 2011, a midrise hotel with garage parking at I-10 and Gessner at Memorial City, the hospital campus/retail area. I stayed on business for two nights and was upgraded to a corner suite which provided a private bedroom with windows on 2 sides, the size of most hotel rooms; a Vegas-sized 12x12 bathroom with separate shower and non-jacuzzi :( tub, and sitting area with separate TV, sofa, table, bar and bathroom. Very roomy. Check-in was very professional and friendly. 
This is a property worthy of the best reputation Westin stands for. Nicely appointed, beautifully-finished, businesslike, with a very smart and professional staff.
Dinner both nights were from the on-site restaurant, Trattoria Il Mulino. Very good entrees, and my selections were non-traditional, did not disappoint, and were reasonably-priced. 
I did not rate the hotel as an excellent 'value' since it's well over $200/night so they're not giving it away. But it's fairly priced.
Let's talk about the road noise. There are 15 lanes of Interstate, 7 lanes of eastbound access road, and 11 lanes of Gessner Rd. including an underpass echo-chamber impacting this property. That corner-suite upgrade put me on the corner that put me front and center to ALL of those lanes and the drone of road noise all day and all night was much louder than I would have liked."
Review 91,"Excellent new property, stayed there approximately 20 days this year on business. Top notch. Great addition to the Starwood family.
- squeaky clean rooms
- huge bathrooms and spa showers, luxurious materials
- great staff
- great gym
- fancy rooftop outdoor pool; while haven't had the chance to try it, provided for great scenery while stretching after my workout"
Review 92,Stayed at the Westin for a week’s business in the area. Having stayed at many hotels I would rate this particular hotel right at the top. Clean & large room with a comfy bed was one of the many plus points. Good sized gym & handy little skywalk thru to the shopping mall also made for a pleasant stay.
Review 93,"San Carlos is a find. Located in a quiet neighborhood convenient to Grand Central and subway. Wonderful diner across the street. The staff is well trained and strives to please. Our suite was roomy and comfortable. Only complaint, the free breakfast pastry dry and would like fresh fruit."
Review 94,"We stayed in one of the suite rooms with 2 Queen beds and a Queen sofa bed in a separate room (4 people - 2 adults and 2 teens). We were surprised by the size of the bedroom and the additional room with the sofa bed. Everything was really nice - the bathrooms, the beds, and the kitchenette. There were nice bathroom fixtures and also a good size countertop space in the bathroom for us to share. We asked for a quiet room and got one - you would have never known you were in New York from the lack of street sounds - our room was completely quiet. We were impressed with the staff - when we asked for extra blankets and towels, they were immediately brought to our room. The staff was also helpful with restaurant suggestions. All in all, we could not have asked for more. This is a great hotel in a great spot in the city - blocks from Rockefeller Center and many other attractions and activities. We loved it and will definitely go back!"
Review 95,My family absolutely enjoyed our stay at San Carlos. Cleanliness was supreme and the one bedroom suite was spacious. The mini kitchenette was fabulous especially traveling with an infant and a child who has food allergies. We will be staying there again next year for our December trip.
Review 96,"My new favorite hotel in New York. Will definitely stay there again. Hotels in New York are outrageously priced during the Christmas season. The San Carlos was a bargain. It is older, but nicely furnished. Similiar to a Marriott. Free breakfast in the morning(fresh pastries and bagels, yogurt), refrigerator in room, free wifi, business center and Aveda products in the bathroom. Beds were nice and comfortable and the room was much larger than ones at the W on Lexington. Nice diner across the street for quick meals; breakfast and afternoon snacks. Right near the Waldorf for drinks and easy subway access. Bellman made limo reservations for us to take us to and from the airport; otherwise 2 cabs were needed. Arranged a car service for us at night. Suites were $100 per night higher and had a full living room and kitchenette. Plenty of places nearby to get a drink. Staff was friendly and helpful. Have stayed at the Omni Berkshire and the Kimberly in the past which have more ambience but cost a lot more. Will stay here in the future for the price. Another reviewer complained about the poor lighting, plumbing rattle, view of wall and inadequate breakfast. Yes the backside faces a wall about 25 feet away but you don't hear the horns blasting away in the morning on 50th. If he paid more, he could have had a room that faced the street. The bathroom is small but adequate and no plumbing rattle. Breakfast is better than Hampton Inn or Courtyard, and it is free in NYC. My lighting was fine, not inadequate. If you want luxury, stay across the street at the Benjamin or the New York Palace. This is a nice hotel, just not a fabulous hotel."
Review 97,"My daughter and I spent last weekend at The Sherry-Netherland, and were immediately impressed with the warm welcome at the front desk and the handwritten welcome note in our room. The staff made us feel at home, from the elevator operators who knew our floor, to the doormen who always greeted us so graciously. Our suite was lovely, appointed with beautiful furnishings in soft colors, and the bedding was so comfortable, it was like sleeping on a cloud! The location of the hotel could not be better, right on Fifth Ave at
59th St, overlooking the main entrance to Central Park. The highly acclaimed restaurant, Harry Cipriani, is there to be enjoyed by hotel guests as well as New Yorkers in the know.
We think The Sherry-Netherland is a true gem, and give it the highest marks for luxury,
service and location in New York City!!!!"
Review 98,"I attended a convention a business conference at this hotel! The beds were really comfortable and luxorious. You even get a choice of feather or foam pillows! I brought the whole family and they certainly enjoyed themselves while I sat in class all day.The pool area is beautiful and overlooks the downtown area. We felt like we were in a resort! The hotel staff was friendly and accomodating. They extended a lovely friendly Texas Welcome to us. They were very pleasant whenever we called to ask for more towels or general directions. There is a skywalk that connects to the hotel, so you don't need to go outside to get to the mall. The mall is complete with a carousel for the little ones, a movie theater, and even an ice rink for the adventurous ones! There is a wide array of restaurants for every taste palette out there."
Review 99,"I'm a business traveler; I travel every week on business. Curious about this new Westin, I decided to try it. The room itself--wonderful, especially the bed, of course. Standalone shower is wonderful. Not much counter in the bath for us ladies with blowdryers and curling irons, but here's a frequent traveler tip: need more counter space? Use the ironing board. Anyway, bathroom nice and bright. Room very nice. 
Only disappointment was the staff....I always get a king bed room,and that's what I reserved, but they gave me a room with 2 doubles. ? So as soon as I stepped in the room and saw the beds, I called the front desk. The first guy to answer the phone says, Oooh, I dunno, we're full tonite. (HARDLY! The parking garage was mostly empty, the hallways and lobby deserted, come on. No need for bs like that.) He transfers me to the front desk who tell me, well, we'll see if we have any king bed rooms....WHAT? EXCUSE ME, but I booked a king bed room, I'm on your frequent stayer (Starwood ) program, the hotel is half empty! So now I raise the tone of my voice just a tad and say, Pardon me, I booked a king room, I expect a king room. {Geez it's not like I booked on hotline or something...I booked thru the hotel website!) Finally they come up with a king bed room. At that point things get better...they bring me the key and the rest of the stay is uneventful.
The only other issue is, don't park on level 4 of the garage, because the hotel elevator only goes to level 3. So if you are parked on 4, like I was, you will now have to trudge around the actual driveways of the garage up to level 4. That's insane, but oh well. 
I won't stay again. Too overpriced, inconvenient (garage thing), and staff too green for road warriors."
Review 100,This is a new Westin Property ... liked its location right next to a mall ... memorial city with lots of shops and restaurants. Hotel is right next to the highway .. making getting to the airport easy and also to other locations ... short 15 min drive to the Galleria Area ... Rooms are comfortable ... except highway can be a little noisy during peak times
Review 101,"I love staying at Westin's and this was a good stay. This is not an excellent place for Platinum recognition, but the stay was very good.
The hotel is new and everything works. As with all Westin's that I have been in, the bed was excellent and the shower was superb. The bathroom lighting was very nice. I got a room that was on the diagonal end, so my bath was very long -- that was a nice touch.
I had to pay for parking, so was not happy about that.
Will surely stay again here."
Review 102,"Like many hotels in NYC this one is an updated, but an old one with all the issues that would normally accompany one (poor lighting, plumbing tha rattles, small bathroom, etc). 
While i had a ""courtyard"" view (really just a brick wall 10 feet away from the window) there was none of the street noise that bothered others on the other side of the hotel. 
Finally - the 'free' breakfast leaves a lot to be desired, but at least the coffee is okay."
Review 103,"For my four-year-old's first trip to NYC, we stayed in a suite at The San Carlos, and what a treat! An immaculately clean bathroom (w/ a bath tub/shower--not always the case in NYC) and bedroom, plus a separate sitting room w/ a tiny kitchenette (no stove, but a sink, small fridge, coffee maker, microwave, dishes and utensils)--perfect for traveling w/ a small child. 
We were on the 17th floor w/ not much of a view and some minor street noise, but never anything disruptive. The staff were always smiling, helpful, and competent. And to top it off, the location cannot be beat--close to every thing we wanted to see and do: Rockefeller Center, the 5th Ave shops, hansom cab rides, tea at The Plaza, etc. 
If you're looking for 24 hour room service and a grand lobby, this is not the place for you. But if you want a nice, clean, convenient place to relax between outings, this place more than fits the bill. Overall, I'd definitely return to this hotel and heartily recommend it to anyone visiting NYC."
Review 104,"After AIRBNB cancelled our apartment reservation at the last minute (4 days prior to arrival) we contacted the San Carlos, a hotel the company has been using for years. We got an extremely reasonable price for a family suite and kept wondering after that why should we ever bother with the unreliable AIRBNB service ever again...We felt so pampered at the hotel!!
The suite was spacious. There's a bedroom with very comfortable bed, TV and closet. The living room has a foldout double sofa, with a very thick and comfortable mattress. Since we are 5 people they brought in another single bed, and the room still felt spacious. 
The living room area also has a TV, two armchairs, a small dining area with 4 chairs and a real kitchenette with microwave, small but real refrigerator and plenty of dishes. For breakfast, though, we used the hotel dining room downstairs. No cooked food, but still enough to get you started in the morning.
The only reservation we have about the room is the fact you can't really open the windows for fresh air (2nd floor) because the cooking fumes and odors you get from the restaurant next door. However, ventilation system is rather efficient.
Staff were very helpful and kind. They make you feel very much ""at home"" and as if each visitor is ""a regular"". 
Last but not least: Location! Initially we wanted to go for the village, but we actually found this location to be even better: easy access to all parts of the city and important destinations - central park and the museums, the MOMA is within minutes walk, Times Sq is close enough to walk and yet far enough... 5th avenue shopping area is really close. Warmly recommend it."
Review 105,"My friends and I had a great stay at the San Carlos Hotel. We all stayed together in a 1 bedroom queen suite. The bedroom had two queen beds, and we had a generously sized sitting area that included a sleeper sofa, 2 arm chairs, sink and fridge. The bedroom was also a nice size, and we had 2 closets with ample storage space. The room was clean and comfortable. The Aveda products in the bathroom were nice! We could hear a little bit of street noise, but it is NYC after all. The hotel itself was very quiet--I never heard any noise from other rooms. The front desk staff was very nice and helpful. Be sure to pick up a map! We also loved the bowls of fun size candy bars at the front desk. I'm not sure if that was leftover from Halloween or if they're always there, but my friends and I always made a quick stop to pick up a Hershey bar on the way in or out. One guy at the front desk was particularly helpful by arranging for a limo to take the 6 of us to our dinner destination one evening. We saved a bit on cab fare that evening and enjoyed the ride in the limo! The hotel is very convenient (1 block) to the subway on 51st and Lexington. There is also a great bagel place, Ess-A-Bagel on 3rd at about 49th or so. I will definitely stay at the San Carlos again if I ever have the chance to get back to New York."
Review 106,"I booked a room here to coach a writing client on her upcoming book, and it was the perfect place for it. The rooms are appointed with a long glass-topped surface spanning the entire drawers/fridge/desk, making it ideal for spreading out presentations, paperwork, or in our case, the book manuscript. The infinity pool and the hot tub on the 18th floor was a fabulous place to get away from it all, and so was the 024 bar with the super blue waterfall in its midst. Rich linens, thick towels, a bathrobe, double showerheads, and suede-like chairs, made this business trip a luxury I am eager to repeat! Perfect location across from the mall and restaurants, too. All floors accessible by room key only, including pool area."
Review 107,"A couple of friends and I took a road trip from New Orleans to Houston to see the Astros/Red Sox game. Our first night in Houston was at the St. Regis. We decided to stay at the Westin the 2nd night because it is brand new, not too far from downtown, and had a good rate. We loved the property even though it seemed deserted. I'm sure they are still trying to get the word out about themselves. The lobby and public spaces were beautiful and modern. Our room was a typical Westin room with amazing beds and a great tv. I was a bit diappointed as the shower and tub were not separate like in most Westins I've stayed in. We greatly enjoyed the Executive Lounge with wonderful snacks and a decent breakfast. The pool and fitness center on the 18th floor were really cool. We enjoyed the view of Houston from up there. The pool was a bit chilly and hot tub not warm. Maybe they can work those kinks out. The Il Mulino restaurant was amazing. We were the only people in the whole place. But, I loved my chicken piccata and their award winning meatballs. The hotel is in a great location with Target, Cheesecake Factory, and Memorial City Mall across the street. The valet was helpful. No one really offered to help with luggage. At check-in, the gentleman was cordial but not genuinely friendly. He was a bit stiff and quite consumed with the rules such as asking to see my AAA card, telling me I'd probably not get SPG points since we held the room with my friend's credit card even though it was booked in my name and paid for in cash, and letting us know we had to use our room keys to access the elevator. Overall, we enjoyed our experience but prefer the St. Regis a few miles away because of their outstanding service."
Review 108,"This hotel is within walking distance of many attractions in Manhattan: the United Nations, Times Square, MOMA, etc. We had a suite and it was very nice. New York is an expensive city and other, more famous hotels were charging much more for the same thing.
We did not eat in the restaurant as there was a good deli across the street and, of course, many restaurants nearby, but they do have a breakfast available.
 All in all, a good find."
Review 109,"Never having been to New York before, we chose the San Carlos after a lot of research. The location was centrally located, within walking to several sites, the subway and restaurants. We found the room to be spacious and clean. We were on the backside of the hotel so there was no view to speak of but that also meant very little street noise. I used the fitness facility, while small, it was adequate for my needs. Breakfast was included which wad a bonus. Just your typical assortment of yogurt, breads and juices it helped us curb costs and get through until late afternoon. The hotel staff was helpful in securing a cab to the airport and in recommending several nearby spots for casual dining. I would definitely recommend this hotel for anyone wanting a home base from which to plan their trip. It's not going to have the spa, or restaurant, or service of some 5 stars but we also didn't have to pay for that."
Review 110,"very nice hotel, quiet, clean, updated rooms with great A/C. The price is good as well, especially for the location - 50th and Lex. Enjoy!
However, you may want to skip the free breakfast - too many other choices in NYC."
Review 111,"Super comfortable rooms, modern but elegant decor and very good location. Just walk outside and a slew of great restaurants and shops are within minutes of walking distance. Front desk staff are welcoming and helpful. 
Direction to the place is a bit tricky"
Review 112,This hotel is awesome! From the looks to the rooms. We stayed in a balcony suite which was great... very spacious clean...The only thing is the view isn't the best but to me it didn't really matter cause the room was great. There is a skywalk to the mall which is convenient. Overall stay is much better than the Westin galleria. Will be coming back!
Review 113,"We stayed on a weekend. Nice new hotel, recently built, very clean. Valet staff was great - especially Jose/Diya. Front desk staff was polite but impersonal, very sterile. Answered your questions but with no warmth or inclination to be delightful and with one word replies. I am a gold SPG member and they pretended they had no upgraded rooms available. I persisted and told them I knew hotel was mostly vacant. Which is when they relented and upgraded me. Club floor lounge evening host was very nice and friendly, genuinely seeking to go above and beyond. Breakfast in the morning was a let down. Not refilled even when items ran out and not enough variety to begin with. Very easy skywalk access to the adjoining mall. Overall not a bad stay. But staff needed quite a bit of polishing and training."
